,body
1521,"Ken,  I just wanted to say thanks for all that you and Enron have done for me.  I know you trusted people close to you and they let you down for that Im sorry.  I have always believed in you and what you stand for.  I  know it took tremendous courage to do what you have done over the last couple of weeks.  Whether the people at Enron like it or not I believe you put us first.  I trust that your decision was the right thing given the circumstances. Yes, Im deeply hurt by the last month but the true spirit of Enron will last within me forever.   I started at this company a mid level IT Administrator and I am now a seasoned Director level technologist and leader.  I have had 4 promotions in the last 5 1/2 years.  I have been challenged by this environment.  I believe that I can go anywhere and be successful because of meeting those challenges.  No where else could have provided me these opportunities. In return Im going to stay committed and have faith that due to that committment the Enron spirit will live on.  With all the bad I wanted to remind you of the good. My years of employment with Enron have been the best of my career.  No matter what happens I know I will be fine. I truly wish you and your family the best.  

Take Care
Mike Croucher
"
1522,"I will be arriving late tomorrow morning to attend a school program.  I should be in the office around 9:30.

Samantha M. Boyd
Senior Legal Specialist
Enron Wholesale Services
1400 Smith Street, EB3803
Houston, Texas 77002
Ph:  (713) 853-9188
Fax:  (713) 646-3490
"
1523,"Attached is a revised, red-lined version of the extension letter. I believe that I addressed Keith's question to his satisfaction, so I haven't added the additional language that he suggested regarding the timing of the removal of the existing compressor units at Stations 1, 2 and 3. Please let me know if you have any additional comments. Thanks.


 

"
1524,"

-----Original Message-----
From: Ordway, Chris 
Sent: Tuesday, November 27, 2001 7:56 AM
To: Boudreaux, Shanna; Garcia, Clarissa; Lamadrid, Victor; Townsend,
Judy; Versen, Victoria
Subject: FW: TE Critical System Warning


FYI...
Chris

-----Original Message-----
From: infopost@duke-energy.com [mailto:infopost@duke-energy.com]
Sent: Tuesday, November 27, 2001 12:00 AM
To: infopost@duke-energy.com
Subject: TE Critical System Warning


November 27, 2001

TEXAS EASTERN TRANSMISSION, LP (Texas Eastern) continues to operate
under the Critical System Warning issued November 26, 2001.  Based on
anticipated system operations and weather conditions, as stated below,
Texas Eastern is requiring that all customers take immediate and prompt
steps to eliminate excess receipts and conform scheduled receipts to
actual deliveries. This system-wide warning is issued as a result of
actual receipts into the system significantly exceeding actual
deliveries. This Critical System Warning shall remain in place until
further notice.

Weather in the market area continues to be unseasonably mild and
shippers have been filling contract storage inventories in anticipation
of the coming winter heating season.  At this time, Texas Eastern's
storage capacity is approximately 98% full.  As a result, there is
virtually no storage capacity or line pack available for system
operational purposes and Texas Eastern cannot continue to absorb actual
imbalances left on the system.

Due to the critical nature of this situation, and the fact that Texas
Eastern no longer has the ability to further absorb imbalances being
left on the system, Texas Eastern requests that all customers coordinate
with their suppliers the actual quantities received into the system
match actual customer takes in the market area.  No due pipe gas will be
accepted into the system until further notice.

If immediate action does not result in reducing the current volume of
gas being left on the system, Texas Eastern may be forced to issue an
operational flow order (""OFO"") requiring actual receipts of gas to match
actual deliveries out of the system, which will be subject to the OFO
non-compliance penalty of $25 per dekatherm.  In addition, and as
provided for in Texas Eastern's FERC Gas Tariff, Texas Eastern will take
any other actions as may be necessary to protect the integrity of its
system, including, but not limited to, suspension of OBA's.






*******************************************************************

NOTE:

Duke Energy Gas Transmission respects your online time and privacy.
You have received this email because you elected to subscribe. To
unsubscribe, login to the E-mail Notification Subscription page at
http://www.link.duke-energy.com/script2/Notification.asp
uncheck the appropriate checkbox, and click the Submit button.
"
1525,"The Confirms group in Houston has asked me to obtain a copy of the 
confirmation letter you come up with for this deal. This group is responsible 
for keeping records of all confirmation letters, whether or not they execute 
them. So this includes term deals that are marked ""no confirm."" Please let me 
know if this is okay with you.

Thanks,
Kate
"
1526,"Good morning. Did you have fun at the concert?

 -----Original Message-----
From: 	Singh, Vikram  
Sent:	Monday, July 16, 2001 7:31 AM
To:	Causholli, Monika
Subject:	

I remember when you used to say Good Morning....

 << File: WEEKLY_7.13.pdf >> 
"
1527,"Beginning this week an Origination report will be given to Fred Lagrasta each 
morning.  The information for this report is taken from the Origination 
schedule tab of your P&L file.  It is imparative that all the information is 
filled out for each origination granted.  The item most commonly overlooked 
is deal volume.  There is also additional information that is now required 
for all Middle Market Nymex Originations.  

Please add the following columns to your Origination Schedule:
Buy/Sell
Term of the Deal
Price
Pub Code

If you have any questions or you are no longer responsible for updating the 
origination schedule, please call me.

Thank you for your help.
Robin
x 5-7478






Michael Benien@ENRON
01/10/2001 08:20 AM
To: Robin Rodrigue/HOU/ECT@ECT
cc:  
Subject: Book Admins


Coal - Mattew Condon
Weather - Tim Norton
Paper - Tracy Beardmore
FX - Joyce Kuo
Interest Rate - Joyce Kuo
Dist - Stewart Range
Dist 2 - John Swinne
Opt - Stewart Range
Dbrc - John Swinne
Blrc - Michelle Nelson
Cfrc - Michelle Nelson
BWD - Jeremy Mills
Alberta Power - Joihn Postlewaite
Power East - Casey Evans
Power West - Valerie Sabo

Thats all I can think of give me a call if I am missing someone.


"
1528,"Per our discussion, attached below is the latest draft of the standard 
contract w/GE.  

Please give me a call to discuss once NEPCO has had an opportunity to review 
the draft contract.

Thanks,

Scott





""Thompson, Peter J."" <pthompson@akllp.com> on 05/22/2001 08:08:33 AM
To: ""Kay Mann (E-mail)"" <kay.mann@enron.com>
cc: ""Cobb, Chris"" <chriscobb@akllp.com> 

Subject: GE Turbine Form Agreement



 Pursuant to my voice mail message, attached please find a clean
copy of the current GE Form Agreement (second document below), as well
as a blackline (first document below) showing changes made to the
version circulated on March 19.  this version does not contain the
""Robust Scope"" language in Section 7, nor does it make any significant
changes to Change orders (other than move what had been in Section 5.3
into that Article pursuant to one of our earlier conference calls.  I
have also not touched the takeover provision.  Chris can be reached at
(202) 662-2016.
 <<Comparison of GE Turbine Agreement, Versions 4 to 5.DOC>>  <<GE
Agreement - Version 5.DOC>> 
 - Comparison of GE Turbine Agreement, Versions 4 to 5.DOC
 - GE Agreement - Version 5.DOC


"
1529," 
All,

The below Analyst & Associate recruiting dates require ENA participation at Manager level at above.   In order to resource each of your departments it is important to have ENA's involvement and participation in the interviews and debrief sessions on Fantastic Friday and Super Saturday events.     These de-brief sessions will allow you the opportunity to select candidates you wish to join your groups.  The target  is to assign potential candidates to business units and departments from the outset.

As ENA has the highest percentage of A&A rotating in its business unit, the participation of ENA at interview should reflect this.     Therefore, please encourage your direct reports and managers to participate in the below events in order to secure candidates for your business area.


Associate Recruiting:		Saturday November 3						Total - 70 Candidates for Interview
Analyst Recruiting:		Friday, November 16						Total - 70 Candidates for Interivew
Associate Recruiting:		Saturday, December 1						Total - 70 Candidates for Interview

The above spreadsheet represents ENA's particpation today which I believe highlights the need for much additional support in these efforts.

Please confirm by return participation of your respective groups.

Regards,

Karen Buckley
HR - ENA
"
1530,"
- 
 >    Idiot #1
 >    I am a medical student currently doing a rotation in toxicology at the
 poison control center.  Today, this woman called in very upset because she
 caught her little daughter eating ants.  I quickly reassured her that the
 ants are not harmful and there would be no need to bring her daughter into
 the hospital.  She calmed down, and at the end of the conversation happened
 to mention that she gave her daughter some ant poison to eat in order to
 >    kill the ants.  I told her that she better bring her daughter into the
 Emergency room right away.
 >    Here's your sign lady.  Wear it with pride.
 >    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 >    Idiot # 2
 >    Seems that a year ago, some Boeing employees on the airfield decided to
 steal a life raft from one of the 747s.  They were successful in getting it
 out of the plane and home.  When they took it for a float on the river, a
 >    Coast Guard helicopter coming towards them surprised them.  It turned
 out that the chopper was homing in on the emergency locator beacon which
 activated when the raft was inflated.  They are no longer employed at
 >    Boeing.  
 >    Here's your sign guys.  Don't get it wet, the paint might run.
 >    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 >    Idiot # 3
 >    A true story out of San Francisco: A man, wanting to rob a downtown
 Bank of America, walked into the branch and wrote ""this iz a stikkup.  Put
 all your muny in this bag.""  While standing in line, waiting to give his
 note to
 >    the teller, he began to worry that someone had seen him write the note
 and might call the police before he reached the teller window.  So he left
 the Bank of America and crossed the street to Wells Fargo. After waiting a
 few minutes in line, he handed his note to the Wells Fargo teller.  He read
 it and, surmising from his spelling errors that he wasn't the brightest
 light in the harbor, told him that she could not accept his stickup note
 because it was written on a Bank of America deposit slip and that he would
 either have to fill out a Wells Fargo deposit slip or go back to Bank of
 America.  Looking somewhat defeated, the man said ""OK"" and left.  He was
 arrested a few minutes later, as he was waiting in line back at Bank of
 America.
 >    Don't bother with this guy's sign.  He probably couldn't read it
 anyway.
 >    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 >    Idiot # 4
 >    A motorist was unknowingly caught in an automated speed trap that
 measured his speed using radar and photographed his car.  He later received
 in the mail a ticket for $40 and a photo of his car.  Instead of payment, he
 sent the police department a photograph of $40.  Several days later, he
 received a letter from the police that contained another picture, this time
 of handcuffs.  He immediatly mailed in his $40.
 >    Another sign (though this guy might be onto something worth thinking
 about)!
 >    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 >    Idiot # 5
 >    Guy walked into a little corner store with a shotgun and demanded all
 the cash from the cash drawer.  After the cashier put the cash in a bag, the
 robber saw a bottle of scotch that he wantedbehind the counter on the shelf.
 >    He told the cashier to put it in the bag as well, but he refused and
 said, ""Because I don't believe you are over 21."" The robber said he was, but
 the clerk still refused to give it to him because he didn't believe him.  At
 this point the robber took his driver's license out of his wallet and gave
 it to the clerk.  The clerk looked it over, and agreed that the man was in
 fact over 21 and he put the scotch in the bag.  The robber then ran from the
 store with his loot.  The cashier promptly called the police and gave the
 name and address of the robber that he got off the license.  They arrested
 the robber two hours later.
 >    (Remind me to have more signs printed up.  Give this guy his!)
 >    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 >    Idiot # 6
 >    A pair of Michigan robbers entered a record shop nervously waving
 revolvers.  The first one shouted, ""Nobody move!"" When his partner moved,
 the startled first bandit shot him.
 >    (This guy doesn't need a sign, he probably figured it out himself.)
 >    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 >    Idiot # 7
 >    Arkansas: Seems this guy wanted some beer pretty badly.  He decided
 that he'd just throw a cinder block through a liquor store window, grab some
 booze, and run.  So he lifted the cinder block and heaved it over his head
 at the window.  The cinder block bounced back and hit the would-be thief on
 the head, knocking him unconscious.  Seems the liquor store window was made
 of Plexi-Glass.  The whole event was caught on videotape.  
 >    (Oh, that smarts.  Give him his sign!)
 >    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 >    Idiot # 8
 >    Ann Arbor: The Ann Arbor News crime column reported that a man walked
 into a Burger King in Ypsilanti, Michigan at 12:50 am flashed a gun and
 demanded cash.  The clerk turned him down because he said he couldn't open
 the cash register without a food order.  When the man ordered onion rings,
 the clerk said they weren't available for breakfast.  The man, frustrated,
 walked away. >>


> 
--------------------------------------------------------------------------------
"
1531,"TOO COOL
"
1532,"
[IMAGE] 	
 Visa has teamed up with NFL players Brett Favre, Emmitt Smith, and Jerome Bettis to give you a chance to win all your Visa purchases! Find out more at: http://www.visa.com/nfl   You are receiving these e-reports because you have signed up for NFL Fantasy Football.  To customize, reschedule, or turn off these reports please  click here    Summary Standings  East Division Team W L T Pct ! Back Strk Div Wks PF Back PA The Dyno-mite  4 1 0 0.800 0.0 W2 3-1-0 3.0 636.0 0.0 450.0 Terminators  4 1 0 0.800 0.0 L1 4-0-0 0.0 464.0 172.0 409.0 Okie Pride  3 2 0 0.600 1.0 W3 2-2-0 1.0 504.0 132.0 442.0 Sack Attack  2 3 0 0.400 2.0 W1 0-3-0 0.0 472.0 164.0 530.0 Pongo Pack  1 4 0 0.200 3.0 L2 0-3-0 0.0 378.0 258.0 512.0 West Division Team W L T Pct Back Strk!  Div  Wks PF Back PA Swamis Stallions  4 1 0 0.800 0.0 W4 2-1-0 0.0 406.0 230.0 363.0 Bloomin Idiots  2 3 0 0.400 2.0 W1 2-2-0 1.0 482.0 154.0 458.0 WidowMakers  2 3 0 0.400 2.0 L3 2-2-0 0.0 401.0 235.0 429.0 Fightin Farmers  2 3 0 0.400 2.0 L1 2-2-0 0.0 365.0 271.0 326.0 Mud Dogz  1 4 0 0.200 3.0 L2 1-2-0 0! .0 371.0 265.0 560.0  Scoring Statistics  Scoring  [IMAGE]  Fightin Farmers Actives Player Pos Scoring Score Green, Trent  QB 127 PaYd (6 Pts), 14 RuYd (1 Pt), 1 Pa2P (2 Pts) 9.0 Anderson, Mike  RB 51 RuYd (5 Pts) 5.0 Bettis, Jerome  RB 112 RuYd (13 Pts) 13.0 Green, Ahman  RB 54 RuYd (5 Pts), 1 RuTD (1) (6 Pts), 18 ReYd (1 Pt) 12.0 Gadsden, Oronde  WR 73 ReYd (7 Pts) 7.0 Galloway, Joey  WR 51 ReYd (5 Pts) 5.0 Richey, Wade  K 2 FG (21,27) (6 Pts), 2 XP (2 Pts) 8.0 Broncos  DT 1 DTD (86) (6 Pts), 2 SACK (2 Pts) 8.0    [IMAGE] TOTALS     67.0 Fightin Farmers Reserves Player Pos ST Scoring Score Alexander, Derrick  WR RS 10 ReYd (1 Pt) 1.0 Allen, James  RB RS 75 RuYd (7 Pts), 1 RuTD (1) (6 Pts), 11 ReYd (1 Pt) 14.0 Chamberlain, Byron  TE RS 20 ReYd (2 Pts) 2.0 Freeman, Antonio  WR RS 138 ReYd (17 Pts), 1 ReTD (8) (6 Pts) 23.0 Johnson, Rob  QB RS   0.0 Nedney, Joe  K RS 3 FG (44,45,49) (9 Pts), 3 FG49 (12 Pts), 2 XP (2 Pts) 23.0 Schroeder, Bill  WR RS 34 ReYd (3 Pts) 3.0 Taylor, Fred  RB RS   0.0     [IMAGE] TOTALS       66.0  Player Updates NFL Reports  Latest NFL Player News - Provided by Commissioner.COM  Herman Moore , WR DET - Free Agent Updated 10/15/01 Moore suffered a hip pointed during the second quarter of Sunday's game. It was his only play of the game, which demonstrates how little his Fantasy value is these days.  Shane Matthews , QB CHI - Free Agent Updat! ed! 10/15/01 The Bears plan to re-sign Matthews possibly on Monday, according to the Chicago Sun-Times. He would return to his backup QB job, and isn't worth adding to your Fantasy roster.  Matt Hasselbeck , QB SEA - Free Agent Updated 10/15/01 Mike Holmgren has confirmed Trent Dilfer will return to the bench when Seattle plays its next game. Hasselbeck is expected to start against Miami on Oct. 28. ""The plan is still to prepare for Miami with Matt as the guy,"" Holmgren said. Neither player has been a very useful Fantasy starter so far, but Hasselbeck has been a big disappointment, while Dilfer has played mistake-free football.  ! Ma! rk Brunell , QB JAC - WidowMakers Updated 10/15/01 Brunell is no longer being bothered by headaches. He is expected to play in Week Six.  Lamar Smith , RB MIA - The Dyno-mite Updated 10/15/01 Smith sprained his right ankle on Sunday against the Jets. The injury is not considered to be serious, and Smith was able to finish the game.  Brian Griese , QB DEN - WidowMakers Updated 10/15/01 Griese re-aggravated a shoulder injury on Sunday at Seattle. The Denver Post says Griese's shoulder will be re-examined on Monday or Tuesday. ""I was able to come back and ! pl! ay this week, and I'm hoping to do the same next week,"" Griese said.  Chad Johnson , WR CIN - Free Agent Updated 10/15/01 Johnson is expected to miss six weeks with a fractured collarbone. He injured the shoulder in the third quarter of Sunday's game.Ron Dugans might now become Cincinanti's third receiver.   Terry Jackson , RB SF - Free Agent Updated 10/15/01 Jackson suffered a calf injury Sunday. He is listed as probable for next week's game at Chicago.   Rob Johnson , QB BUF - Fightin Farm! er! s Updated 10/15/01 The Buffalo News says Johnson (neck)  looked good in practice on Sunday. He is expected to play in Week Six. """"He threw the ball extremely well, especially in the wind today,"" said coach Gregg Williams. ""He had a fresh arm. It seems like there is no residual effect from it right now.""   Muhsin Muhammad , WR CAR - Terminators Updated 10/15/01 A hip injury prevented Muhammad from finishing Sunday's game. He is expected to play in next week's game against the Redskins.   Terance Mathis , WR ATL - Swamis Stallions Updated 10/15/01 Mathis shook off a hip injury and played i! n ! Sunday's game. However, a sprained hand limited him to four catches for 50 yards. The hand injury isn't considered to be serious. Mathis will be evaluated on a day-to-day basis.   Bob Christian , RB ATL - Free Agent Updated 10/15/01 Christian suffered bruised ribs in Sunday's game. He will be evaluated on a day to day basis.   Shawn Jefferson , WR ATL - Sack Attack Updated 10/15/01 Jefferson missed a lot of playing time Sunday because of a sprained left big toe. He will be evaluated on a day-to-day basis.   Marshall Faulk , RB STL - Okie Pride Updated 10/15/01 The St. Louis Rams will be without Faulk for at least one week. The Rams originally diagnosed the injury as a sprained right medial collateral ligament, but an MRI revealed no severe ligament or cartilage damage.   Rams coach Mike Martz fears that Faulk may be sidelined for at least three weeks.   ""They (the doctors) think he will be out somewhere between three to four weeks,"" Martz said. Faulk will be re-evaluated next week and believes it is possible he could return for a key NFC West game against the New Orleans Saints on October 28.   ""We'll see,"" Faulk said. ""It's kind of early to say, but you never know.""     Chris Weinke , QB CAR - Free Agent Updated 10/15/01 Weinke continued to struggle Sunday, fumbling away the center exchange on Carolina's second posse! ss! ion, losing another fumble when his arm was hit as he attempted to pass and also throwing an interception. All three turnovers led to Saints scores, putting Carolina down 17-0. He finished 21-of-39 for 196 yards and two second-half touchdowns. Use him as a reserve for now.    Trent Dilfer , QB SEA - Free Agent Updated 10/14/01 Dilfer left Sunday's game in the fourth quarter with a groin injury. He was replaced by Matt Hasselbeck.  Eddie Kennison , WR DEN - WidowMakers Updated 10/14/01 Kennison caught six passes for 84 yards and a TD at Seattle. Don't expect Kennison to suddenly turn his career and season around with one solid outing. He might follow his good game with many weeks of statistical silence,  Shaun Alexander , RB SEA - The Dyno-mite Updated 10/14/01 Alexander had another great game, rushing for 142 yards and two TDs on 33 carries against Denver. Alexander has clearly established himself as a Fantasy standout, and he has ignited the Seattle offense. If he continues to play at his current level, he might hold onto the feature back job, even when Ricky Watters returns.  Jay Fiedler , QB MIA - Free Agent Updated 10/14/01 Fiedler threw for 213 yards and a score against the N.Y. Jets, but he was also picked off twice. He's still not a very reliable Fantasy player, and is no better than a reserve at this point.   Lamar Smith ,! R! B MIA - The Dyno-mite Updated 10/14/01 Smith had a decent outing on Sunday, posting 77 yards of total offense and a touchdown against the N.Y. Jets. He did fumble twice in the game, but he's still good enough to be a No. 1 back from a Fantasy perspective.   Laveranues Coles , WR NYJ - Sack Attack Updated 10/14/01 Coles was very prodcutive for the N.Y. Jets on Sunday, posting five catches for 77 yards and two touchdowns against Miami. He may not be worth starting every week just yet, but Coles is slowly becoming a player worthy of a roster spot.   Vinny Testaverde , QB NYJ - Terminators Updated 10/14/01  Testaverde had a good outing against Miami, throwing for 168 yards and two touchdowns. He's still not worth starting ever week, but Testaverde is very useful Fantasy-wise when the matchup is right.   Glyn Milburn , RB CHI - Free Agent Updated 10/14/01 Milburn left Sunday's game against Arizona due to an ankle injury. He will be re-evaluated on Monday.   Michael Bennett , RB MIN - Pongo Pack Updated 10/14/01 Bennett did nothing yet again, posting only 46 yards rushing against Detroit. Unless you play in a deeper league, you may want to consider droppin! g ! Bennett altogether.   Germane Crowell , WR DET - Swamis Stallions Updated 10/14/01 Crowell had a strong outing against Minnesota, catching nine passes for 125 yards and a score. He's still not consistent enough to use every week at this point, but he's easily worth a roster spot if available.   Charlie Batch , QB DET - Free Agent Updated 10/14/01 Batch had a huge game against Minnesota, throwing for 345 yards and three scores. He's still not worth starting on a weekly basis despite the performance, but he might now warrant a reserve role in deeper leagues.   Bubba Franks , TE GB - Free Agent Updated 10/14/01 Franks caught only two passes for four yards against the Ravens, but both catches resulted in TDs. Franks has clearly emerged as a primary goal-line threat on one of the NFL's top offensive units.  David Patten , WR NE - Free Agent Updated 10/14/01 Patten had a good game against San Diego, catching seven passes for 73 yards. He'll likely be pushed out of the starting lineup now that Terry Glenn is back, so don't be surrpised to see his numbers decrease somewhat.   Antonio Freeman , WR GB - Fighti! n ! Farmers Updated 10/14/01 Freeman caught nine passes for 138 yards and TD against Baltimore. His fine numbers against the AFC's top defense are a clear signal that Freeman is still a quality Fantasy wideout, despite his quiet start prior to this week.  Travis Taylor , WR BAL - The Dyno-mite Updated 10/14/01 Taylor caught three passes for 50 yards and a TD at Green Bay. The second-year wideout seems to have finally found his niche in the Baltimore passing game.  More Updates [IMAGE]  Copyright 2001 Commissioner.COM Inc   FB10NF  	
"
1533,"i'll ask

 -----Original Message-----
From: 	Baumbach, David  
Sent:	Monday, October 22, 2001 1:29 PM
To:	Bass, Eric
Subject:	RE: 

although he may be a little out of my league

 -----Original Message-----
From: 	Bass, Eric  
Sent:	Monday, October 22, 2001 1:20 PM
To:	Baumbach, David
Subject:	RE: 

i doubt it - he usually shops in town for his

 -----Original Message-----
From: 	Baumbach, David  
Sent:	Monday, October 22, 2001 7:39 AM
To:	Bass, Eric
Subject:	

I'm looking for a suit ... does your dad know a good place to get one in Sugar Land?

Dave
"
1534,"<HTML><HEAD><TITLE>Major Energy Networking Event In Houston</TITLE>
<BODY>
<P align=center><STRONG><FONT face=Arial>2nd Annual Techxans ""Energy"" Networking 
Event<BR><BR><FONT color=#0000ff>WHEN: </FONT>Thursday, February 28, 2002 from 
5:00pm - 8:00pm<BR><BR><FONT color=#0000ff>WHERE: </FONT>Chianti - 
</FONT></STRONG><A 
href=""http://houston.citysearch.com/profile/9903124/""><STRONG><FONT 
face=Arial>http://houston.citysearch.com/profile/9903124/</FONT></STRONG></A><FONT 
face=Arial><STRONG> 1315 S. Post Oak Lane - Tel: (713) 840-0303<BR><BR><FONT 
color=#0000ff>WHO: </FONT>Techxans welcome all Technology, Energy, and Industry 
Executives, CEO</STRONG><FONT color=#0000ff size=2><SPAN 
class=761423722-21022002><FONT 
color=#000000><STRONG>s</STRONG></FONT>&nbsp;</SPAN></FONT><STRONG>, 
CIO</STRONG><FONT color=#0000ff size=2><SPAN class=761423722-21022002><FONT 
color=#000000><STRONG>s</STRONG></FONT>&nbsp;</SPAN></FONT><STRONG>, 
VP</STRONG><FONT size=2><FONT color=#0000ff><SPAN class=761423722-21022002><FONT 
color=#000000><STRONG>s</STRONG></FONT>&nbsp;</SPAN><SPAN 
class=761423722-21022002>&nbsp;</SPAN></FONT></FONT></FONT><STRONG><FONT 
face=Arial>, Directors, Analysts, Consultants, and Business 
Professionals!!<BR></FONT></STRONG></P>
<P align=left><FONT face=Arial><STRONG>INVITE YOUR FRIENDS &amp; COWORKERS SIGN 
UP ONLINE</STRONG>: <A 
href=""http://www.techxans.org/signup/mixersignup.htm"">http://www.techxans.org/signup/mixersignup.htm</A></FONT> 
</P>
<P align=left><FONT face=Arial><B><FONT color=#0000ff>ATTIRE:</FONT> Business 
Casual<BR><FONT color=#0000ff>ADMISSION:</FONT> $5.00<BR><FONT 
color=#0000ff>GET:</FONT> FREE FOOD &amp; First 200 Guests Get One Free 
Drink<BR></B></FONT></P>
<P align=left><FONT face=Arial>
<CENTER><FONT color=#ff0000 size=4><B>MAJOR CORPORATE SPONSORS:</B> 
</FONT></CENTER></FONT></P>
<P></P>
<UL>
  <LI><B><FONT face=Arial color=#ff0000>Skipping Stone</FONT><FONT face=Arial 
  color=#000000> <A 
  href=""http://www.skippingstone.com"">http://www.skippingstone.com</A> 
  <BR></FONT></B>
  <LI><FONT face=Arial color=#000000><B>Rexton Media Wireless <A 
  href=""http://wireless.rextonmedia.com"">http://wireless.rextonmedia.com</A> 
  <BR></B></FONT>
  <LI><FONT face=Arial color=#000000><B>Houston ITEC <A 
  href=""http://www.goitec.com"">http://www.goitec.com</A> <BR></B></FONT>
  <LI><FONT face=Arial color=#000000><B>Texas Technology Conference <A 
  href=""http://texastechnologyconference.com/"">http://texastechnologyconference.com/</A> 
  </B></FONT><B><FONT color=#ff0000><BR></LI></UL></FONT>
<P><FONT face=Arial><U><FONT color=#ff0000>About Skipping Stone (Event 
Sponsor)</FONT></U> 
<P><FONT color=#0000ff>Skipping Stone, Inc. is an independent energy consulting 
and technology firm founded in 1996 by visionary leaders from the energy 
industry. Its proven professionals serve the energy marketplace with a broad mix 
of products and services that assist companies from initial business planning 
through maturity. For more information visit <A 
href=""http://www.skippingstone.com"">http://www.skippingstone.com</A>.</FONT></FONT></P><FONT 
face=Arial>
<UL></UL>
<P>All Techxans &amp; IT Professionals may register online for complimentary 
admission. Click to <A 
href=""http://www.goitec.com"">http://www.goitec.com</A></FONT> </P>
<P align=center><FONT face=Arial color=#ff0000><B>PLEASE FORWARD THIS EMAIL TO 
ALL OF YOUR FRIENDS!!</B></FONT></P>
<P align=center><FONT face=Arial size=1><B><A 
href=""mailto:unsubscribe@skippingstone.com"">To be removed from further mailings 
please click here</A></B></FONT></P></B></BODY></HTML>
"
1535,"Well,  I'm not sure how I screwed up the wonders of modern science by sending
you a copy of the ""surprise"" part but Wednesday will work.  My plans for the
night included a business dinner but I'd MUCH rather spend the evening with 
you
to celebrate your 40th birthday.   Carson can make it on Wednesday night so
we'll plan on the three of us unless Carson can convince your longtime 
birthday
buds to come in for the occasion.  (I'll leaving it to Carson to make the
reservations at Benji's since he'll know who will be there.  (I'm assuming 
7:00
will work for everyone.)  See you then!!






Sara.Shackleton@enron.com on 11/10/2000 04:52:16 PM


To:   Donna J Mullen/HQ/PC/CNG@CNGNOTES
cc:


Subject:  Re: No News




Donna:  Monday is not a good day for me since my 6 p.m. call has been
arranged.  Wednesday would work best.  Can you talk to Carson?  Sara



                    Donna_J_Mulle
                    n@DOM.COM            To:     ""R. Carson Llewellyn""
<carlew@flash.net>
                                         cc:
                    11/09/2000           Subject:     Re: No News
                    11:51 AM









Carson,
I've been out of town on business a lot lately.  I'd love to have dinner
again
and I've heard great things about Benji's.
Sara has a ""special""  birthday coming up on the 17th.  I don't know any of
her
friends here since she's gotten out of the
business in Houston.  Wouldn't it be great if you could get her two
""birthday
pals"" together with us for the occasion!?  Isn't
Monty a mutual friend of yours?  (I've never met him.)  What do you think?
Donna






""R. Carson Llewellyn"" <carlew@flash.net> on 11/09/2000 11:11:41 AM


To:   Donna J Mullen/HQ/PC/CNG@CNGNOTES
cc:


Subject:  No News



Hi Donna:

I have not heard from you in a while, so I wanted to touch base. No real
news here. I had a nice lunch with Paul Dunning this week. He is still
very busy and recovering from a back injury but in good spirits as
usual. I still want to go to Benji's one evening if you are available.

Take Care,
Carson










"
1536,"I wish I had more time to review this.  Of 62 different elements of the audit, PwC found the CAISO to be ""non-compliant"" with 31 elements, e.g., no operating procedure, or, more often, in direct violation of the tariff.  Lots of problems were found with the CAISO actual operation in dispatching real time energy, dealing with CERS, and setting the ex post price.---sch

-----Original Message-----
From: CRCommunications [mailto:CRCommunications@caiso.com]
Sent: Wednesday, December 26, 2001 2:40 PM
To: ISO Market Participants
Subject: CAISO Notice - PwC Operational Audit 2001


ISO Market Participants:

PricewaterhouseCoopers (PwC) has released its Operational Audit of the CAISO
for 2001. The document is posted on the CAISO web site at
http://www.caiso.com/docs/2001/12/26/2001122610363624338.pdf

The ISO will present this report to the Board of Governors meeting at its
next meeting, scheduled for February 7,2002. 

If you have any questions, please call or e-mail any of the following ISO
contacts: 

*	Vicken Kasarjian 	(916) 351-2353 	vkasarjian@caiso.com 
*	Deane Lyon 		(916) 608-1225	dlyon@caiso.com
*	Mike Epstein 		(916) 351-2314 	mepstein@caiso.com

"
1537,"Deal # Q47477 has been rebooked.



To: Susan M Scott/HOU/ECT@ECT
cc:  
Subject: Deal # 47477

Please rebook to Peoples Gas, Light and Coke.

Thanks

Lesli

"
